 ------------- + ------------- + ------------- + ------- --- + -------------------- + ------------ + ------------ + ---------- + ---------------- + ------------ + -------- ------- +
| EMPLOYEE_ID | FIRST_NAME | LAST_NAME | Электронная почта | PHONE_NUMBER | HIRE_DATE | JOB_ID | Заработная плата | COMMISSION_PCT | MANAGER_ID | DEPARTMENT_ID |
+ ------------- + ------------- + ------------- + ------- --- + -------------------- + ------------ + ------------ + ---------- + ---------------- + ------------ + -------- ------- +
| 100 | Стивен | Король | SKING | 515.123.4567 | 2003-06-17 | AD_PRES | 24000,00 | 0,00 | 0 | 90 |
| 101 | Нина | Коххар | НКОЧХАР | 515.123.4568 | 2005-09-21 | AD_VP | 17000,00 | 0,00 | 100 | 90 |
| 102 | Лекс | Де Хаан | LDEHAAN | 515.123.4569 | 2001-01-13 | AD_VP | 17000,00 | 0,00 | 100 | 90 |
| 103 | Александр | Hunold | Ахунольд | 590,423,4567 | 2006-01-03 | IT_PROG | 9000,00 | 0,00 | 102 | 60 |
| 104 | Брюс | Эрнст | БЕРНСТ | 590,423,4568 | 2007-05-21 | IT_PROG | 6000,00 | 0,00 | 103 | 60 |
| 105 | Дэвид | Остин | DAUSTIN | 590,423,4569 | 2005-06-25 | IT_PROG | 4800,00 | 0,00 | 103 | 60 |
| 106 | Валли | Патабала | VPATABAL | 590,423,4560 | 2006-02-05 | IT_PROG | 4800,00 | 0,00 | 103 | 60 |
| 107 | Диана | Лоренц | ДЛОРЕНЦ | 590,423,5567 | 2007-02-07 | IT_PROG | 4200,00 | 0,00 | 103 | 60 |
| 108 | Нэнси | Гринберг | НГРИНБЕ | 515,124,4569 | 2002-08-17 | FI_MGR | 12008,00 | 0,00 | 101 | 100 |
| 109 | Даниэль | Фавиет | ДФАВЬЕТ | 515.124.4169 | 2002-08-16 | FI_ACCOUNT | 9000,00 | 0,00 | 108 | 100 |
| 110 | Джон | Чен | JCHEN | 515,124,4269 | 2005-09-28 | FI_ACCOUNT | 8200,00 | 0,00 | 108 | 100 |
| 111 | Исмаэль | Sciarra | ИСКАРРА | 515,124,4369 | 2005-09-30 | FI_ACCOUNT | 7700,00 | 0,00 | 108 | 100 |
| 112 | Жозе Мануэль | Урман | JMURMAN | 515,124,4469 | 2006-03-07 | FI_ACCOUNT | 7800,00 | 0,00 | 108 | 100 |
| 113 | Луис | Попп | LPOPP | 515,124,4567 | 2007-12-07 | FI_ACCOUNT | 6900,00 | 0,00 | 108 | 100 |
| 114 | Ден | Рафаэли | DRAPHEAL | 515.127.4561 | 2002-12-07 | PU_MAN | 11000,00 | 0,00 | 100 | 30 |
| 115 | Александр | Ху | AKHOO | 515.127.4562 | 2003-05-18 | PU_CLERK | 3100,00 | 0,00 | 114 | 30 |
| 116 | Шелли | Байда | SBAIDA | 515.127.4563 | 2005-12-24 | PU_CLERK | 2900,00 | 0,00 | 114 | 30 |
